DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Jul-2025,EQ,"812.50","825.20","811.50","815.00","820.05","820.65","817.03","895.00","680.00",15470390,"12,63,97,61,432.95",221637
22-Jul-2025,EQ,"827.50","828.05","814.00","824.20","814.65","815.00","819.53","895.00","680.00",7851163,"6,43,42,96,996.25",146969
21-Jul-2025,EQ,"823.00","827.35","817.95","823.35","824.60","824.20","823.65","895.00","680.00",8852594,"7,29,14,70,527.50",146624
18-Jul-2025,EQ,"832.00","832.65","820.25","829.00","823.00","823.35","823.40","899.00","680.00",15387801,"12,67,02,69,957.10",177062
17-Jul-2025,EQ,"838.40","842.50","826.35","831.70","828.75","829.00","834.43","899.00","680.00",23073718,"19,25,33,23,758.60",267805
16-Jul-2025,EQ,"816.00","834.20","815.30","816.45","830.50","831.70","827.89","899.00","680.00",16458920,"13,62,62,44,060.15",287903
15-Jul-2025,EQ,"811.00","821.00","810.50","808.85","816.40","816.45","816.69","899.00","680.00",9297645,"7,59,32,79,897.10",163000
14-Jul-2025,EQ,"809.80","815.50","808.00","808.65","809.10","808.85","810.60","899.00","680.00",6938635,"5,62,44,60,859.00",112079
11-Jul-2025,EQ,"807.55","812.55","804.55","808.00","808.60","808.65","808.72","899.00","680.00",6202372,"5,01,59,55,117.90",143253
10-Jul-2025,EQ,"811.30","815.50","806.90","810.95","807.55","808.00","810.53","899.00","680.00",12178137,"9,87,07,66,879.95",171580
09-Jul-2025,EQ,"810.00","812.45","809.00","812.65","811.00","810.95","810.91","899.00","680.00",4099112,"3,32,39,95,623.60",171040
08-Jul-2025,EQ,"807.90","813.55","805.35","806.85","812.25","812.65","809.46","899.00","680.00",5935770,"4,80,47,95,680.55",152435
07-Jul-2025,EQ,"811.20","812.65","805.15","811.85","807.00","806.85","807.71","899.00","680.00",4461783,"3,60,38,40,471.15",110862
04-Jul-2025,EQ,"808.75","813.85","804.10","807.10","811.25","811.85","808.47","899.00","680.00",4319538,"3,49,22,04,634.35",96453
03-Jul-2025,EQ,"813.50","814.50","805.80","812.90","807.00","807.10","809.78","899.00","680.00",7020403,"5,68,49,73,436.05",137793
02-Jul-2025,EQ,"821.00","824.05","809.00","820.30","812.70","812.90","814.81","899.00","680.00",6661200,"5,42,75,83,829.55",121545
01-Jul-2025,EQ,"820.00","824.90","813.25","820.35","820.20","820.30","819.76","899.00","680.00",11456405,"9,39,14,84,331.05",157197
30-Jun-2025,EQ,"809.00","821.00","807.05","805.40","819.85","820.35","816.64","899.00","680.00",19652607,"16,04,91,37,157.55",249562
27-Jun-2025,EQ,"805.00","809.45","802.65","797.05","804.55","805.40","805.86","899.00","680.00",19375990,"15,61,42,54,535.75",262127
26-Jun-2025,EQ,"802.00","803.35","791.40","800.05","796.05","797.05","795.08","899.00","680.00",24704402,"19,64,19,48,457.00",208543
25-Jun-2025,EQ,"799.50","803.80","796.10","795.40","800.00","800.05","799.91","899.00","680.00",6528324,"5,22,20,95,310.00",131096
24-Jun-2025,EQ,"799.00","806.65","793.65","790.20","795.75","795.40","799.60","899.00","680.00",11402190,"9,11,71,65,780.85",184002
23-Jun-2025,EQ,"790.00","794.95","788.50","796.15","790.00","790.20","791.21","899.00","680.00",5549253,"4,39,06,04,870.65",131841
20-Jun-2025,EQ,"787.50","799.45","786.10","785.10","795.25","796.15","794.39","899.00","680.00",11367669,"9,03,03,30,594.45",169215
19-Jun-2025,EQ,"792.35","793.25","781.70","791.90","782.60","785.10","786.26","899.00","680.00",11824333,"9,29,70,45,726.70",289212
18-Jun-2025,EQ,"792.50","795.50","788.35","792.30","790.40","791.90","791.48","899.00","680.00",5710169,"4,51,95,00,759.90",136624
17-Jun-2025,EQ,"794.00","798.85","790.55","792.50","792.05","792.30","794.06","899.00","680.00",7753156,"6,15,64,66,697.60",115931
16-Jun-2025,EQ,"792.50","795.40","786.15","792.35","793.00","792.50","791.28","899.00","680.00",8085001,"6,39,74,93,172.15",157361
13-Jun-2025,EQ,"786.25","796.30","786.25","805.95","793.30","792.35","792.35","899.00","680.00",11377117,"9,01,46,34,064.30",196572
12-Jun-2025,EQ,"816.00","816.50","801.20","815.05","804.00","805.95","809.23","899.00","680.00",13448521,"10,88,29,09,973.85",154034
11-Jun-2025,EQ,"817.00","820.60","813.05","817.05","814.40","815.05","817.21","899.00","680.00",7197825,"5,88,21,09,303.90",109100
10-Jun-2025,EQ,"821.00","822.05","814.60","820.05","817.00","817.05","818.07","899.00","680.00",6560513,"5,36,69,31,400.75",173698
09-Jun-2025,EQ,"817.40","824.50","815.70","813.05","820.00","820.05","820.86","899.00","680.00",12793040,"10,50,13,57,386.30",195288
06-Jun-2025,EQ,"806.65","816.45","803.10","806.00","812.65","813.05","811.87","912.00","680.00",17163935,"13,93,49,18,691.45",202699
05-Jun-2025,EQ,"808.70","811.70","802.85","806.50","806.80","806.00","806.79","912.00","680.00",13595507,"10,96,86,53,855.65",176672
04-Jun-2025,EQ,"817.00","817.00","805.25","809.80","805.50","806.50","808.79","912.00","680.00",9607927,"7,77,08,21,872.90",136010
03-Jun-2025,EQ,"816.20","818.40","805.15","813.65","808.20","809.80","811.05","912.00","680.00",14247597,"11,55,54,79,376.75",175051
02-Jun-2025,EQ,"812.85","822.55","809.20","812.30","813.50","813.65","814.73","912.00","680.00",26891575,"21,90,93,10,086.45",218771
30-May-2025,EQ,"798.00","814.50","792.60","797.35","814.00","812.30","807.33","912.00","680.00",22037314,"17,79,12,79,933.65",217715
29-May-2025,EQ,"799.00","800.40","791.35","796.55","798.10","797.35","794.95","912.00","680.00",14034127,"11,15,63,61,147.65",281565
28-May-2025,EQ,"794.50","798.90","792.65","793.70","796.00","796.55","796.29","912.00","680.00",6873519,"5,47,33,17,160.35",113841
27-May-2025,EQ,"794.40","801.35","790.05","794.40","794.25","793.70","795.55","912.00","680.00",11995043,"9,54,26,79,873.15",178381
26-May-2025,EQ,"792.00","797.55","789.20","790.50","794.15","794.40","794.09","912.00","680.00",4965466,"3,94,30,15,064.15",98636
23-May-2025,EQ,"787.90","794.95","786.20","785.25","790.25","790.50","790.74","912.00","680.00",5534158,"4,37,60,97,515.60",106313
22-May-2025,EQ,"788.00","788.20","780.30","787.10","785.80","785.25","784.47","912.00","680.00",7355826,"5,77,04,52,205.00",160443
21-May-2025,EQ,"787.00","791.00","779.10","785.65","787.20","787.10","786.00","912.00","680.00",8206040,"6,44,99,39,895.55",130051
20-May-2025,EQ,"798.15","799.40","783.80","795.00","786.70","785.65","788.84","912.00","680.00",11324667,"8,93,33,54,461.85",169563
19-May-2025,EQ,"792.10","801.40","792.10","792.10","794.45","795.00","796.74","912.00","680.00",10666184,"8,49,81,49,477.50",194011
16-May-2025,EQ,"804.00","804.00","791.00","807.75","792.50","792.10","794.09","912.00","680.00",14733924,"11,70,00,04,865.75",241785
15-May-2025,EQ,"804.45","809.45","794.50","800.70","808.00","807.75","802.04","912.00","680.00",17058854,"13,68,19,51,074.05",200305
14-May-2025,EQ,"805.75","807.50","796.30","801.75","802.40","800.70","801.49","912.00","680.00",9281719,"7,43,91,87,440.95",146698
13-May-2025,EQ,"798.60","807.65","797.20","801.65","801.95","801.75","802.32","912.00","680.00",13909596,"11,15,99,32,476.10",201551
12-May-2025,EQ,"799.00","803.90","793.00","779.25","800.95","801.65","799.87","912.00","680.00",15096824,"12,07,54,21,793.80",173252
09-May-2025,EQ,"756.50","781.70","755.50","769.00","780.50","779.25","772.28","912.00","680.00",13578216,"10,48,62,27,680.40",246098
08-May-2025,EQ,"779.00","786.50","764.00","776.10","765.45","769.00","775.80","912.00","680.00",14491673,"11,24,25,92,363.70",202239
